Time, флаг остановленного двс, флаг холостого хода, флаг мощностное обогащение, флаг блокировки топлива, флаг зоны регулирования по дк, флаг попадания в зону детонации, флаг разрешения продувки адсорбера, флаг сохранения обучения по дк, признак наличия холостого хода в прошлом цикле вычислений, разрешение блокировки выхода из режима холостого хода, признак обнаружения детонации, текущее состояние ДК, режимная точка RPM-GBC 3D, температура ОЖ, состав смеси, RCO, Дроссель, обороты двс, обороты двс на ХХ, время цикла, желаемое рхх, текущее рхх, коэфицент коррекции времени впрыска, фаза впрыска, уоз, коррекция уоз 1ц, коррекция уоз 2ц, коррекция уоз 3ц, коррекция уоз 4ц, АЦП ДД, АЦП ДМРВ, АКБ, АЦП RCO, АЦП ДПДЗ, АЦП ДТОЖ, АЦП ДТВ, АЦП ДК, флаг готовности ДК, Флаг нагрева ДК, октан корректор, скорость авто, желаемые обороты хх, температура воздуха, Коэффициент коррекции GTC при обогащении, Коэффициент коррекции GTC при обеднении, Время впрыска, Массовый расход воздуха, Цикловой расход воздуха, Часовой расход топлива, DAD_RT, Т-Заряда, Коэф-т коррекции ЦН по ТЗ, Коррекция уоз по детонации, Обороты блокировки впрыска на лаунче, Мультипликативная коррекция топливоподачи, Коэффициент выбора тзаряда, Поправка цн по дросселю, поправка ЦН по давлению, Коррекция уоз по температуре(общая), AFR_WBL, Коррекция цн по управлению доп выводами по карте, JUFRXX, JUFRXX1, JUFRXX2, Коррекция времени впрыска по дельте рампа ресивер, dop_flag, tle_8_16, TURBO DYNAMICS, WGDC, Фаза, Коррекция уоз по доп топливу, TWAT_RT, RPM_RT, RPM_TRT_RT, Зона ПХХ, Коррекция уоз на лаунче, GBC_RT, GBC_DAD, GBC_DAD_FIN, PRESSURE J7ES, Обогащение по давлению, TARGET_BOOST, NOISE_HIP, AFR_LC, Давление в коллекторе, Ошибка оборотов
0.4, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 33, 40, 14.7, 0.09, 0, 905, 910, 5524, 26, 26, 1, 0, 11.5, 0, 0, 0, 0, 0, 0.41, 14.04, 0.55, 0.35, 2.07, 3.48, 0.45, 0, 1, 0, 0, 900, 22, 0, 0, 2.78, 10, 92, 0.9, 19, 34, 0.796875, 0, 7600, 1, 0.296875, 1, 0.8671875, 10.5, 0.5, 1, 900, 1250, 1890, 0.8984375, 0, 79, 0, 0, 372, 0, 16, 10, 1, 0, 0, 35, 1287, 558, 26, 0, 616.53, 45, 0, 0, -5
0.61, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 33, 40, 14.7, 0.09, 0, 918, 920, 5441, 26, 26, 1, 0, 11, 0, 0, 0, 0, 0, 0.43, 14.14, 0.55, 0.37, 2.07, 3.48, 0.45, 0, 1, 0, 0, 900, 22, 0, 0, 2.74, 10, 90, 0.86, 15, 34, 0.796875, 0, 7600, 1, 0.296875, 1, 0.8671875, 10.5, 0.5, 1, 900, 1250, 1890, 0.8984375, 0, 79, 0, 0, 372, 0, 16, 10, 1, 0, 0, 35, 1259, 545, 25, 0, 616.53, 45, 0, 0, -2
0.82, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 33, 40, 14.7, 0.09, 0, 913, 910, 5476, 26, 26, 1, 0, 11.5, 0, 0, 0, 0, 0, 0.39, 14.23, 0.55, 0.37, 2.07, 3.48, 0.45, 0, 1, 0, 0, 900, 22, 0, 0, 2.66, 9, 87, 0.84, 15, 34, 0.796875, 0, 7600, 1, 0.296875, 1, 0.859375, 10.5, 0.5, 1, 900, 1250, 1890, 0.89453125, 0, 79, 0, 0, 372, 0, 16, 10, 1, 0, 0, 33, 1228, 527, 25, 0, 616.53, 45, 0, 0, 3
1.03, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 32, 40, 14.7, 0.09, 0, 896, 900, 5578, 26, 26, 1, 0, 12, 0, 0, 0, 0, 0, 0.39, 14.23, 0.55, 0.37, 2.07, 3.48, 0.45, 0, 1, 0, 0, 900, 22, 0, 0, 2.66, 9, 87, 0.8, 15, 34, 0.796875, 0, 7600, 1, 0.296875, 1, 0.84375, 10.5, 0.5, 1, 900, 1250, 1890, 0.8984375, 0, 79, 0, 0, 372, 0, 16, 6, 0, 0, 0, 32, 1243, 524, 25, 0, 616.53, 45, 0, 0, -4
1.25, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 32, 40, 14.7, 0.09, 0, 891, 890, 5611, 26, 26, 1, 0, 13, 0, 0, 0, 0, 0, 0.41, 14.14, 0.55, 0.37, 2.05, 3.48, 0.45, 0, 1, 0, 0, 900, 22, 0, 0, 2.7, 9, 89, 0.82, 19, 34, 0.796875, 0, 7600, 1, 0.296875, 1, 0.84375, 10.5, 0.5, 1, 900, 1250, 1890, 0.8984375, 0, 79, 0, 0, 372, 0, 16, 6, 0, 0, 0, 34, 1273, 537, 26, 0, 616.53, 45, 0, 0, 1
1.46, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 32, 40, 14.7, 0.09, 0, 887, 890, 5635, 26, 26, 1, 0, 13, 0, 0, 0, 0, 0, 0.39, 14.14, 0.55, 0.37, 2.05, 3.48, 0.45, 0, 1, 0, 0, 900, 22, 0, 0, 2.73, 9, 90, 0.82, 19, 34, 0.796875, 0, 7600, 1, 0.296875, 1, 0.84375, 10.5, 0.5, 1, 900, 1250, 1890, 0.8984375, 0, 79, 0, 0, 372, 0, 16, 6, 0, 0, 0, 34, 1287, 542, 26, 0, 616.53, 45, 0, 0, -3
1.67, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 33, 40, 14.7, 0.09, 0, 906, 900, 5514, 26, 26, 1, 0, 12, 0, 0, 0, 0, 0, 0.41, 14.14, 0.55, 0.37, 2.05, 3.48, 0.45, 0, 1, 0, 0, 900, 22, 0, 0, 2.76, 9, 91, 0.88, 19, 34, 0.796875, 0, 7600, 1, 0.296875, 1, 0.8671875, 10.5, 0.5, 1, 900, 1250, 1890, 0.8984375, 0, 79, 0, 0, 372, 0, 16, 10, 1, 0, 0, 35, 1273, 551, 26, 0, 616.53, 45, 0, 0, 6
1.89, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 33, 40, 14.7, 0.09, 0, 915, 920, 5464, 26, 26, 1, 0, 11, 0, 0, 0, 0, 0, 0.39, 14.23, 0.55, 0.37, 2.05, 3.48, 0.45, 0, 1, 0, 0, 900, 22, 0, 0, 2.74, 10, 90, 0.86, 19, 34, 0.796875, 0, 7600, 1, 0.296875, 1, 0.8671875, 10.5, 0.5, 1, 900, 1250, 1890, 0.8984375, 0, 79, 0, 0, 372, 0, 16, 10, 1, 0, 0, 35, 1259, 545, 26, 0, 616.53, 45, 0, 0, -5
2.1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 33, 40, 14.7, 0.09, 0, 915, 920, 5463, 26, 26, 1, 0, 11, 0, 0, 0, 0, 0, 0.37, 14.23, 0.55, 0.37, 2.05, 3.48, 0.45, 0, 1, 0, 0, 900, 22, 0, 0, 2.67, 9, 88, 0.84, 11, 34, 0.796875, 0, 7600, 1, 0.296875, 1, 0.859375, 10.5, 0.5, 1, 900, 1250, 1890, 0.89453125, 0, 79, 0, 0, 372, 0, 16, 10, 1, 0, 0, 33, 1228, 527, 24, 0, 616.53, 45, 0, 0, -5
2.31, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 33, 40, 14.7, 0.09, 0, 907, 910, 5510, 26, 26, 1, 0, 11.5, 0, 0, 0, 0, 0, 0.37, 14.14, 0.55, 0.37, 2.05, 3.48, 0.45, 0, 1, 0, 0, 900, 22, 0, 0, 2.71, 9, 89, 0.86, 15, 34, 0.796875, 0, 7600, 1, 0.296875, 1, 0.8671875, 10.5, 0.5, 1, 900, 1250, 1890, 0.8984375, 0, 79, 0, 0, 372, 0, 16, 10, 1, 0, 0, 34, 1243, 538, 25, 0, 616.53, 45, 0, 0, -3
2.52, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 33, 40, 14.7, 0.09, 0, 906, 910, 5516, 26, 26, 1, 0, 11.5, 0, 0, 0, 0, 0, 0.39, 14.14, 0.55, 0.37, 2.05, 3.48, 0.45, 0, 1, 0, 0, 900, 22, 0, 0, 2.75, 9, 91, 0.88, 15, 34, 0.796875, 0, 7600, 1, 0.296875, 1, 0.8671875, 10.5, 0.5, 1, 900, 1250, 1890, 0.8984375, 0, 79, 0, 0, 372, 0, 16, 10, 1, 0, 0, 35, 1273, 551, 25, 0, 616.53, 45, 0, 0, -4
